First Name,Last Name,Email,Contact Type,Date of Birth,Country,Gender,Parent Name,Notes
Sofia,Almeida,sofia.almeida+demo@a2zcloud.eu.com,Student,2009-03-10,Brazil,Female,Maria Almeida,Primary applicant
Amara,Diallo,amara.diallo+demo@a2zcloud.eu.com,Student,2008-07-22,Guinea,Female,Fatou Diallo,Applying to UWC Germany
Lena,Fischer,lena.fischer+demo@a2zcloud.eu.com,Student,2009-11-04,Germany,Female,Stefan Fischer,
Kwame,Asante,kwame.asante+demo@a2zcloud.eu.com,Student,2008-05-18,Ghana,Male,Akua Asante,Applying to UWC Kenya
Preethi,Nair,preethi.nair+demo@a2zcloud.eu.com,Student,2009-12-30,India,Female,Sunita Nair,
Miguel,Santos,miguel.santos+demo@a2zcloud.eu.com,Student,2009-06-12,Portugal,Male,Helena Santos,Pre-flagged safeguarding (live flip during demo)
Ana,Carvalho,ana.carvalho+demo@a2zcloud.eu.com,Volunteer,1982-04-09,Brazil,Female,,NC Admin Brazil
Marcus,Weber,marcus.weber+demo@a2zcloud.eu.com,Volunteer,1979-11-22,Germany,Male,,NC Admin Germany - GDPR opted out
Grace,Omondi,grace.omondi+demo@a2zcloud.eu.com,Volunteer,1975-08-15,Kenya,Female,,NC Chair Kenya
Daniel,Kimani,daniel.kimani+demo@a2zcloud.eu.com,Volunteer,1981-02-28,Kenya,Male,,Training EXPIRED
Aisha,Waweru,aisha.waweru+demo@a2zcloud.eu.com,Volunteer,1990-09-03,Kenya,Female,,Training MISSING
Priya,Sharma,priya.sharma+demo@a2zcloud.eu.com,Volunteer,1983-06-17,India,Female,,NC Admin India
James,Thornton,james.thornton+demo@a2zcloud.eu.com,Volunteer,1971-01-25,United Kingdom,Male,,NC Admin UK
Clara,Ramos,clara.ramos+demo@a2zcloud.eu.com,Volunteer,1985-10-08,Brazil,Female,,NC Reviewer Brazil
Paulo,Fonseca,paulo.fonseca+demo@a2zcloud.eu.com,Volunteer,1980-03-14,Brazil,Male,,NC Reviewer Brazil
Jonathan,Osei,jonathan.osei+demo@a2zcloud.eu.com,Donor,1968-07-11,Ghana,Male,,Opted in 2026-01-02
Isabelle,Fontaine,isabelle.fontaine+demo@a2zcloud.eu.com,Donor,1973-12-05,France,Female,,Opted in 2025-11-14
Sam,Blackwood,sam.blackwood+demo@a2zcloud.eu.com,Alumni,1995-02-19,United Kingdom,Male,,Opted in 2026-03-09
Dame Catherine,Prior,catherine.prior+demo@a2zcloud.eu.com,Governance,1955-09-30,United Kingdom,Female,,Chair International Board
Dr Ravi,Menon,ravi.menon+demo@a2zcloud.eu.com,Governance,1960-04-12,India,Male,,Trustee EXPIRED
Sarah,Okonkwo,sarah.okonkwo+demo@a2zcloud.eu.com,Governance,1968-11-08,Nigeria,Female,,Secretary
Thomas,Berger,thomas.berger+demo@a2zcloud.eu.com,Governance,1962-08-21,Germany,Male,,Trustee EXPIRED
Amina,Hassan,amina.hassan+demo@a2zcloud.eu.com,Governance,1974-05-16,Kenya,Female,,Trustee
Helen,Richards,helen.richards+atlantic@a2zcloud.eu.com,School,1972-06-04,United Kingdom,Female,,Atlantic Admissions Director
Erik,Solberg,erik.solberg+nordic@a2zcloud.eu.com,School,1975-09-19,Norway,Male,,Nordic Admissions Director
Anjali,Mehta,anjali.mehta+mahindra@a2zcloud.eu.com,School,1970-12-27,India,Female,,Mahindra Admissions Director
